code,grade,domain,cluster,requirement,pdf_page
K.CC.1,K,Counting and Cardinality,Know number names and the count sequence.,1. Count to 100 by ones and by tens.,P11
K.CC.2,K,Counting and Cardinality,Know number names and the count sequence.,2. Count forward beginning from a given number within the known sequence (instead of having to begin at 1).,P11
K.CC.3,K,Counting and Cardinality,Know number names and the count sequence.,3. Write numbers from 0 to 20. Represent a number of objects with a written numeral 0-20 (with 0 representing a count of no objects).,P11
K.CC.4,K,Counting and Cardinality,Count to tell the number of objects.,"4. Understand the relationship between numbers and quantities; connect counting to cardinality. a. When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object. b. Understand that the last number name said tells the number of objects counted. The number of objects is the same regardless of their arrangement or the order in which they were counted. c. Understand that each successive number name refers to a quantity that is one larger.",P11
K.CC.5,K,Counting and Cardinality,Count to tell the number of objects.,"5. Count to answer “how many?” questions about as many as 20 things arranged in a line, a rectangular array, or a circle, or as many as 10 things in a scattered configuration; given a number from 1–20, count out that many objects.",P11
K.CC.6,K,Counting and Cardinality,Compare numbers.,"6. Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group,",P11
K.CC.7,K,Counting and Cardinality,Compare numbers.,7. Compare two numbers between 1 and 10 presented as written numerals.,P11
K.OA.1,K,Operations and Algebraic Thinking,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.","1. Represent addition and subtraction with objects, fingers, mental images, drawings, sounds, acting out situations, verbal explanations, expressions, or equations.",P11
K.OA.2,K,Operations and Algebraic Thinking,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.","2. Solve addition and subtraction word problems, and add and subtract within 10,",P11
K.OA.3,K,Operations and Algebraic Thinking,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.","3. Decompose numbers less than or equal to 10 into pairs in more than one way,",P11
K.OA.4,K,Operations and Algebraic Thinking,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.","4. For any number from 1 to 9, find the number that makes 10 when added to the given number,",P11
K.OA.5,K,Operations and Algebraic Thinking,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.",5. Fluently add and subtract within 5.,P11
K.NBT.1,K,Number and Operations in Base Ten,Work with numbers 11–19 to gain foundations for place value.,"1. Compose and decompose numbers from 11 to 19 into ten ones and some further ones,",P12
K.MD.1,K,Measurement and Data,Describe and compare measurable attributes.,"1. Describe measurable attributes of objects, such as length or weight. Describe several measurable attributes of a single object.",P12
K.MD.2,K,Measurement and Data,Describe and compare measurable attributes.,"2. Directly compare two objects with a measurable attribute in common, to see which object has “more of”/“less of” the attribute, and describe the difference.",P12
K.MD.3,K,Measurement and Data,Classify objects and count the number of objects in each category.,3. Classify objects into given categories; count the numbers of objects in each category and sort the categories by count.,P12
K.G.1,K,Geometry,"Identify and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylinders, and spheres).","1. Describe objects in the environment using names of shapes, and describe the relative positions of these objects using terms such as above, below, beside, in front of, behind, and next to.",P12
K.G.2,K,Geometry,"Identify and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylinders, and spheres).",2. Correctly name shapes regardless of their orientations or overall size.,P12
K.G.3,K,Geometry,"Identify and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylinders, and spheres).","3. Identify shapes as two-dimensional (lying in a plane, “flat”) or three-dimensional (“solid”).",P12
K.G.4,K,Geometry,"Analyze, compare, create, and compose shapes.","4. Analyze and compare two- and three-dimensional shapes, in different sizes and orientations, using informal language to describe their similarities, differences, parts and other attributes.",P12
K.G.5,K,Geometry,"Analyze, compare, create, and compose shapes.",5. Model shapes in the world by building shapes from components and drawing shapes.,P12
K.G.6,K,Geometry,"Analyze, compare, create, and compose shapes.",6. Compose simple shapes to form larger shapes.,P12
1.OA.1,1,Operations and Algebraic Thinking,Represent and solve problems involving addition and subtraction.,"1. Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions,",P15
1.OA.2,1,Operations and Algebraic Thinking,Represent and solve problems involving addition and subtraction.,"2. Solve word problems that call for addition of three whole numbers whose sum is less than or equal to 20,",P15
1.OA.3,1,Operations and Algebraic Thinking,Understand and apply properties of operations and the relationship between addition and subtraction.,3. Apply properties of operations as strategies to add and subtract.,P15
1.OA.4,1,Operations and Algebraic Thinking,Understand and apply properties of operations and the relationship between addition and subtraction.,4. Understand subtraction as an unknown-addend problem.,P15
1.OA.5,1,Operations and Algebraic Thinking,Add and subtract within 20.,5. Relate counting to addition and subtraction.,P15
1.OA.6,1,Operations and Algebraic Thinking,Add and subtract within 20.,"6. Add and subtract within 20, demonstrating fluency for addition and subtraction within 10. Use strategies such as counting on; making ten; decomposing a number leading to a ten; using the relationship between addition and subtraction; and creating equivalent but easier or known sums.",P15
1.OA.7,1,Operations and Algebraic Thinking,Work with addition and subtraction equations.,"7. Understand the meaning of the equal sign, and determine if equations involving addition and subtraction are true or false.",P15
1.OA.8,1,Operations and Algebraic Thinking,Work with addition and subtraction equations.,8. Determine the unknown whole number in an addition or subtraction equation relating three whole numbers.,P15
1.NBT.1,1,Number and Operations in Base Ten,Extend the counting sequence.,"1. Count to 120, starting at any number less than 120. In this range, read and write numerals and represent a number of objects with a written numeral.",P15
1.NBT.2,1,Number and Operations in Base Ten,Understand place value.,"2. Understand that the two digits of a two-digit number represent amounts of tens and ones. Understand the following as special cases: a. 10 can be thought of as a bundle of ten ones — called a “ten.” b. The numbers from 11 to 19 are composed of a ten and one, two, three, four, five, six, seven, eight, or nine ones. c. The numbers 10, 20, 30, 40, 50, 60, 70, 80, 90 refer to one, two, three, four, five, six, seven, eight, or nine tens (and 0 ones).","P15, 16"
1.NBT.3,1,Number and Operations in Base Ten,Understand place value.,"3. Compare two two-digit numbers based on meanings of the tens and ones digits, recording the results of comparisons with the symbols >, =, and <.","P15, 16"
1.NBT.4,1,Number and Operations in Base Ten,Use place value understanding and properties of operations to add and subtract.,"4. Add within 100, including adding a two-digit number and a one-digit number, and adding a two-digit number and a multiple of 10, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used. Understand that in adding two-digit numbers, one adds tens and tens, ones and ones; and sometimes it is necessary to compose a ten.",P16
1.NBT.5,1,Number and Operations in Base Ten,Use place value understanding and properties of operations to add and subtract.,"5. Given a two-digit number, mentally find 10 more or 10 less than the number, without having to count; explain the reasoning used.",P16
1.NBT.6,1,Number and Operations in Base Ten,Use place value understanding and properties of operations to add and subtract.,"6. Subtract multiples of 10 in the range 10-90 from multiples of 10 in the range 10-90 (positive or zero differences), using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",P16
1.MD.1,1,Measurement and Data,Measure lengths indirectly and by iterating length units.,1. Order three objects by length; compare the lengths of two objects indirectly by using a third object.,P16
1.MD.2,1,Measurement and Data,Measure lengths indirectly and by iterating length units.,"2. Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps. Limit to contexts where the object being measured is spanned by a whole number of length units with no gaps or overlaps.",P16
1.MD.3,1,Measurement and Data,Tell and write time.,3. Tell and write time in hours and half-hours using analog and digital clocks.,P16
1.MD.4,1,Measurement and Data,Represent and interpret data.,"4. Organize, represent, and interpret data with up to three categories; ask and answer questions about the total number of data points, how many in each category, and how many more or less are in one category than in another.",P16
